ticker,reason
GASL,etf/fund
GBIL,etf/fund
GBTC,etf/fund
GDX,etf/fund
GDXD,etf/fund
GDXJ,etf/fund
GDXU,etf/fund
GGLL,etf/fund
GLD,etf/fund
GLDM,etf/fund
GMEU,etf/fund
GNMK,etf/fund
GNMX,etf/fund
GNR,etf/fund
GOGL,etf/fund
GOOG,duplicate class share
GOVT,etf/fund
GRNY,etf/fund
GSG,etf/fund
GSIE,etf/fund
GSLC,etf/fund
GSY,etf/fund
GUNR,etf/fund
GUSH,etf/fund
HDEF,etf/fund
HDV,etf/fund
HEFA,etf/fund
HELO,etf/fund
HIBS,etf/fund
HIMU,etf/fund
HIMZ,etf/fund
HODL,etf/fund
HOOG,etf/fund
HOOW,etf/fund
HOOY,etf/fund
HYD,etf/fund
HYG,etf/fund
HYLB,etf/fund
HYLS,etf/fund
HYMB,etf/fund
IAGG,etf/fund
IAU,etf/fund
IAUM,etf/fund
IBB,etf/fund
IBDL,etf/fund
IBDM,etf/fund
IBDR,etf/fund
IBDS,etf/fund
IBDW,etf/fund
IBIT,etf/fund
ICLN,etf/fund
ICSH,etf/fund
ICVT,etf/fund
IDEV,etf/fund
IDV,etf/fund
IEF,etf/fund
IEFA,etf/fund
IEI,etf/fund
IEMG,etf/fund
IEUR,etf/fund
IFRA,etf/fund
IGF,etf/fund
IGIB,etf/fund
IGLB,etf/fund
IGSB,etf/fund
IGV,etf/fund
IHDG,etf/fund
IHI,etf/fund
IJH,etf/fund
IJJ,etf/fund
IJK,etf/fund
IJR,etf/fund
IJS,etf/fund
ILF,etf/fund
INDA,etf/fund
INFL,etf/fund
INFO,etf/fund
INOV,etf/fund
INTW,etf/fund
IONX,etf/fund
IONZ,etf/fund
IQLT,etf/fund
ISTB,etf/fund
ITA,etf/fund
ITB,etf/fund
ITM,etf/fund
ITOT,etf/fund
IUSB,etf/fund
IUSG,etf/fund
IUSV,etf/fund
IVE,etf/fund
IVLU,etf/fund
IVOL,etf/fund
IVV,etf/fund
IVW,etf/fund
IWB,etf/fund
IWD,etf/fund
IWF,etf/fund
IWM,etf/fund
IWN,etf/fund
IWO,etf/fund
IWP,etf/fund
IWR,etf/fund
IWS,etf/fund
IWY,etf/fund
IXC,etf/fund
IXUS,etf/fund
IYE,etf/fund
IYR,etf/fund
IYW,etf/fund
JAAA,etf/fund
JBND,etf/fund
JDST,etf/fund
JEPI,etf/fund
JEPQ,etf/fund
JETS,etf/fund
JGRO,etf/fund
JHMM,etf/fund
JIRE,etf/fund
JMST,etf/fund
JMTG,etf/fund
JNK,etf/fund
JNUG,etf/fund
JPIE,etf/fund
JPST,etf/fund
KBE,etf/fund
KBWB,etf/fund
KEM,etf/fund
KIE,etf/fund
KMB,etf/fund
KOLD,etf/fund
KRE,etf/fund
KSA,etf/fund
KWEB,etf/fund
LABD,etf/fund
LABU,etf/fund
LABX,etf/fund
LAZR,etf/fund
LIT,etf/fund
LMBS,etf/fund
LQD,etf/fund
MARK,etf/fund
MBB,etf/fund
MCHI,etf/fund
MDY,etf/fund
METU,etf/fund
MGK,etf/fund
MGV,etf/fund
MIC,etf/fund
MINT,etf/fund
MJ,etf/fund
