ticker,gics_sector,n_test_bars,n_trades,total_return,sharpe
BEN,Financials,132,5,-0.0033828474942461106,-0.2822013002512421
CSX,Industrials,132,3,-0.0012990328836763876,-0.28458839533538943
COIN,Financials,132,82,-0.01587398847555177,-0.2916021272664327
AEE,Utilities,132,6,-0.005207069061008318,-0.30318163605208565
ISRG,Health Care,132,7,-0.0018873983015472717,-0.30372912571752725
AXON,Industrials,132,65,-0.014307813832368566,-0.30625089793370514
URI,Industrials,132,10,-0.0030567186422314485,-0.30712977908455047
ROP,Information Technology,132,13,-0.004146207869430318,-0.3107873038479207
NRG,Utilities,132,53,-0.013283705621893294,-0.3166276092372363
AMT,Real Estate,132,7,-0.00753064593400532,-0.32489439697744027
TSN,Consumer Staples,132,9,-0.004403130138776801,-0.3494845832312074
AME,Industrials,132,8,-0.005746028025272132,-0.3688214430370942
CEG,Utilities,132,52,-0.013787944368737537,-0.3723240340876819
VEEV,Health Care,132,53,-0.01670407787464956,-0.3842021214289454
AMGN,Health Care,132,3,-0.0011313038814699805,-0.38824138532019353
GDDY,Information Technology,132,56,-0.017117787723234024,-0.4014462821271617
JPM,Financials,132,4,-0.0028224564351108095,-0.4054749917251981
KEY,Financials,132,5,-0.003680508279506167,-0.40924301076644015
IRM,Real Estate,132,13,-0.007346885991671326,-0.4157853722659134
SW,Materials,132,52,-0.02159258740810721,-0.4174454944644396
BRK.B,Financials,132,3,-0.0009447401306266201,-0.4192174284817663
AEP,Utilities,132,5,-0.007454987183463602,-0.44036392101270405
NOW,Information Technology,132,84,-0.021640785422641473,-0.4491515109192279
AZO,Consumer Discretionary,132,13,-0.009595000678057075,-0.4520208997338299
CRL,Health Care,132,36,-0.01590525866182735,-0.4600720928021703
TRGP,Energy,132,10,-0.00573619440056139,-0.47354991258325757
CDNS,Information Technology,132,50,-0.018905659975040234,-0.474712476018616
NDAQ,Financials,132,5,-0.005939669801348857,-0.475698679386481
DDOG,Information Technology,132,76,-0.023379203184291097,-0.4810935518884012
WFC,Financials,132,11,-0.005932993647146945,-0.4843822485808726
CBRE,Real Estate,132,25,-0.014312522817981677,-0.48479231148868357
EXPD,Industrials,132,8,-0.004553374616692696,-0.4908975845232411
BAX,Health Care,132,41,-0.014301720569666942,-0.49193598418953893
TYL,Information Technology,132,50,-0.018102987044964602,-0.5055434894433661
PEG,Utilities,132,5,-0.00868743362955704,-0.5240460877811169
WSM,Consumer Discretionary,132,22,-0.010892477709843695,-0.5263597761877464
VRSN,Information Technology,132,8,-0.008041536387241366,-0.5334462697228407
SCHW,Financials,132,9,-0.003868346050198812,-0.5444498689304361
VTRS,Health Care,132,7,-0.005799159897034611,-0.5464354130711684
WAT,Health Care,132,11,-0.008752590281824957,-0.5668296971887087
WMB,Energy,132,9,-0.007097737316965835,-0.5712809450749949
CBOE,Financials,132,23,-0.01782242283814439,-0.5849873729361126
WEC,Utilities,132,7,-0.006527123121253586,-0.6098844707278261
SNPS,Information Technology,132,49,-0.02461542296302177,-0.6210951424183005
EXR,Real Estate,132,2,-0.004441209671905644,-0.6293642294172587
ETR,Utilities,132,6,-0.010827170758571758,-0.6385515528567337
IBM,Information Technology,132,48,-0.01844560296896336,-0.6449526759990812
AJG,Financials,132,22,-0.013805832681081709,-0.6449715351521061
KO,Consumer Staples,132,2,-0.007916084372285304,-0.654631995901261
AVY,Materials,132,5,-0.007139042641876481,-0.662912958129037
IR,Industrials,132,4,-0.013184402773768977,-0.6760785432264012
DD,Materials,132,9,-0.009065746347598602,-0.6865434455056929
GRMN,Consumer Discretionary,132,7,-0.011402134606551373,-0.692129277436597
UNP,Industrials,132,2,-0.002100884558491667,-0.7092701154115183
TGT,Consumer Staples,132,7,-0.005547648343135592,-0.714763405708509
EME,Industrials,132,14,-0.013518584726861405,-0.7228704516781136
KDP,Consumer Staples,132,6,-0.0077893741576288145,-0.7235170321480393
PNW,Utilities,132,7,-0.007379952368590348,-0.7240037190191405
PPG,Materials,132,9,-0.014761633256925144,-0.727791161721322
CMS,Utilities,132,7,-0.011449499341560032,-0.7284347475825672
RSG,Industrials,132,4,-0.0035803511300159796,-0.7370220511423394
NEE,Utilities,132,7,-0.011857043881305485,-0.7557386533939701
ALB,Materials,132,71,-0.0373086129172604,-0.7619209320400823
NKE,Consumer Discretionary,132,6,-0.003873942399147512,-0.7865752339074157
CCI,Real Estate,132,8,-0.0096526706003226,-0.7968326465222991
CRH,Materials,132,11,-0.013453205638157661,-0.7982908987196938
KMB,Consumer Staples,132,3,-0.004745826145028498,-0.8007079892284716
NI,Utilities,132,7,-0.012941660332987936,-0.8007919901651228
NSC,Industrials,132,3,-0.0049740555808350795,-0.8262419062739368
FE,Utilities,132,7,-0.007925175531422357,-0.8273228360234158
ORCL,Information Technology,132,83,-0.04000314074255906,-0.86533932757936
FCX,Materials,132,61,-0.039124556048297676,-0.868640546135008
VLTO,Industrials,132,2,-0.004343826260139405,-0.8695888443910197
JNJ,Health Care,132,2,-0.004219817869514753,-0.8792393632640666
XEL,Utilities,132,5,-0.004236161642134584,-0.8806536694907491
CARR,Industrials,132,15,-0.01933433838328702,-0.9039043019483972
IQV,Health Care,132,34,-0.021656114412674232,-0.9103020609872501
NEM,Materials,132,53,-0.0379804567333869,-0.9214098929869067
HRL,Consumer Staples,132,6,-0.009054675594939221,-0.9277383400410291
CTAS,Industrials,132,5,-0.011506547286529667,-0.9370960204888014
LHX,Industrials,132,4,-0.005591463867760882,-0.9521545753343066
MGM,Consumer Discretionary,132,47,-0.029454176574580826,-0.9738905397434315
TRMB,Information Technology,132,11,-0.011037026986053133,-0.9937626146875651
ZTS,Health Care,132,13,-0.007611236062269988,-1.0090534175612886
LEN,Consumer Discretionary,132,19,-0.020178211581425742,-1.012164791565603
TSCO,Consumer Discretionary,132,32,-0.025078674314912064,-1.0153428460546077
PKG,Materials,132,7,-0.0143306251974189,-1.0208483929763914
EG,Financials,132,2,-0.004178469395276663,-1.0222447153192722
EL,Consumer Staples,132,57,-0.03615354145704919,-1.0253972302906098
