ticker,gics_sector,n_test_bars,n_trades,total_return,sharpe
ALLE,Industrials,132,2,-0.032890732230260844,-1.920384586175478
JCI,Industrials,132,5,-0.02278878458159539,-1.9271223171123137
GILD,Health Care,132,2,-0.007241884761486905,-1.933390320060471
ABT,Health Care,132,3,-0.013668812741873815,-1.951095253946351
INTU,Information Technology,132,92,-0.08574010942677734,-1.9532705932595382
PG,Consumer Staples,132,7,-0.01873297788261985,-1.9579184898527777
XYL,Industrials,132,2,-0.015273969351097927,-1.9611546805756854
VZ,Communication Services,132,8,-0.03147019436484311,-2.0166553883615648
BDX,Health Care,132,3,-0.013932412232582236,-2.036701664110298
AIZ,Financials,132,3,-0.0028840563255704277,-2.0426265267478336
DLR,Real Estate,132,4,-0.013694162840113822,-2.0755387652155575
T,Communication Services,132,9,-0.039142469980565586,-2.0841079787073657
GPC,Consumer Discretionary,132,6,-0.013998656692521871,-2.1531108703650554
GD,Industrials,132,3,-0.003602910306870988,-2.162048768030829
MCK,Health Care,132,5,-0.011776656504962513,-2.194147409881787
TAP,Consumer Staples,132,9,-0.05372062563876823,-2.1949174480447327
MKC,Consumer Staples,132,16,-0.04614217957951994,-2.224948317922596
GWW,Industrials,132,3,-0.015323024722513123,-2.2365694804034475
GIS,Consumer Staples,132,5,-0.03605482820266459,-2.257137023300998
PCAR,Industrials,132,3,-0.016049261229843848,-2.294234744497514
SOLV,Health Care,132,3,-0.014709899513863478,-2.319699717011099
RTX,Industrials,132,5,-0.029349314725051756,-2.3612375040322875
SJM,Consumer Staples,132,7,-0.024225489558453606,-2.4108385435127935
APD,Materials,132,5,-0.02770048621924337,-2.411524914268147
LIN,Materials,132,5,-0.02637364842222978,-2.421932037349836
PEP,Consumer Staples,132,5,-0.03095340979204997,-2.468963629912344
DOV,Industrials,132,4,-0.02904598631781663,-2.682168242674205
IDXX,Health Care,132,5,-0.016916508311656142,-2.6862484558407678
BLDR,Industrials,132,62,-0.09938645847680794,-2.7067103390562863
ROK,Industrials,132,10,-0.05698974566675552,-2.7544239531723114
UHS,Health Care,132,8,-0.02639741085943359,-2.847683810962467
BSX,Health Care,132,12,-0.05680933941963007,-3.197062286733298
CSGP,Real Estate,132,86,-0.13224325626466238,-3.3182650125002238
PSKY,Communication Services,132,56,-0.11097024989846371,-3.340409558762841
